+--------+-----------+--------------------------------------------+---------------------------+-----------------------------------------------------------------------------+--------------------------+
| Domain | Method    | URI                                        | Name                      | Action                                                                      | Middleware               |
+--------+-----------+--------------------------------------------+---------------------------+-----------------------------------------------------------------------------+--------------------------+
|        | GET|HEAD  | /                                          |                           | App\Http\Controllers\Front\BerandaController@index                          | web                      |
|        | GET|HEAD  | groups/{group}/edit                        | groups.edit               | App\Http\Controllers\Back\UserControl\GroupController@edit                  | web,auth,auth.basic,auth |
|        | GET|HEAD  | hubungi-kami                               | hubungi-kami.index        | App\Http\Controllers\Front\HubungiKamiController@index                      | web                      |
|        | POST      | hubungi-kami                               | hubungi-kami.store        | App\Http\Controllers\Front\HubungiKamiController@store                      | web                      |
|        | GET|HEAD  | hubungi-kami/create                        | hubungi-kami.create       | App\Http\Controllers\Front\HubungiKamiController@create                     | web                      |
|        | GET|HEAD  | hubungi-kami/{hubungi_kami}                | hubungi-kami.show         | App\Http\Controllers\Front\HubungiKamiController@show                       | web                      |
|        | PUT|PATCH | hubungi-kami/{hubungi_kami}                | hubungi-kami.update       | App\Http\Controllers\Front\HubungiKamiController@update                     | web                      |
|        | DELETE    | hubungi-kami/{hubungi_kami}                | hubungi-kami.destroy      | App\Http\Controllers\Front\HubungiKamiController@destroy                    | web                      |
|        | GET|HEAD  | hubungi-kami/{hubungi_kami}/edit           | hubungi-kami.edit         | App\Http\Controllers\Front\HubungiKamiController@edit                       | web                      |
|        | GET|HEAD  | login                                      | login                     | App\Http\Controllers\Back\Auth\LoginController@showLoginForm                | web,guest                |
|        | POST      | login                                      |                           | App\Http\Controllers\Back\Auth\LoginController@login                        | web,guest                |
|        | POST      | logout                                     |                           | App\Http\Controllers\Back\Auth\LoginController@logout                       | web                      |
|        | GET|HEAD  | logout                                     |                           | App\Http\Controllers\Back\Auth\LoginController@logout                       | web                      |
|        | GET|HEAD  | media-promosi                              | media-promosi.index       | App\Http\Controllers\Front\MediaPromosiController@index                     | web                      |
|        | POST      | media-promosi                              | media-promosi.store       | App\Http\Controllers\Front\MediaPromosiController@store                     | web                      |
|        | GET|HEAD  | media-promosi/create                       | media-promosi.create      | App\Http\Controllers\Front\MediaPromosiController@create                    | web                      |
|        | DELETE    | media-promosi/{media_promosi}              | media-promosi.destroy     | App\Http\Controllers\Front\MediaPromosiController@destroy                   | web                      |
|        | PUT|PATCH | media-promosi/{media_promosi}              | media-promosi.update      | App\Http\Controllers\Front\MediaPromosiController@update                    | web                      |
|        | GET|HEAD  | media-promosi/{media_promosi}              | media-promosi.show        | App\Http\Controllers\Front\MediaPromosiController@show                      | web                      |
|        | GET|HEAD  | media-promosi/{media_promosi}/edit         | media-promosi.edit        | App\Http\Controllers\Front\MediaPromosiController@edit                      | web                      |
|        | GET|HEAD  | pasar-aman                                 | pasar-aman.index          | App\Http\Controllers\Front\PasarAmanController@index                        | web                      |
|        | POST      | pasar-aman                                 | pasar-aman.store          | App\Http\Controllers\Front\PasarAmanController@store                        | web                      |
|        | GET|HEAD  | pasar-aman/create                          | pasar-aman.create         | App\Http\Controllers\Front\PasarAmanController@create                       | web                      |
|        | GET|HEAD  | pasar-aman/{pasar_aman}                    | pasar-aman.show           | App\Http\Controllers\Front\PasarAmanController@show                         | web                      |
|        | PUT|PATCH | pasar-aman/{pasar_aman}                    | pasar-aman.update         | App\Http\Controllers\Front\PasarAmanController@update                       | web                      |
|        | DELETE    | pasar-aman/{pasar_aman}                    | pasar-aman.destroy        | App\Http\Controllers\Front\PasarAmanController@destroy                      | web                      |
|        | GET|HEAD  | pasar-aman/{pasar_aman}/edit               | pasar-aman.edit           | App\Http\Controllers\Front\PasarAmanController@edit                         | web                      |
|        | POST      | password/email                             |                           | App\Http\Controllers\Back\Auth\ForgotPasswordController@sendResetLinkEmail  | web,guest                |
|        | POST      | password/reset                             |                           | App\Http\Controllers\Back\Auth\ResetPasswordController@reset                | web,guest                |
|        | GET|HEAD  | password/reset                             |                           | App\Http\Controllers\Back\Auth\ForgotPasswordController@showLinkRequestForm | web,guest                |
|        | GET|HEAD  | password/reset/{token}                     |                           | App\Http\Controllers\Back\Auth\ResetPasswordController@showResetForm        | web,guest                |
|        | POST      | pedoman                                    | pedoman.store             | App\Http\Controllers\Front\PedomanController@store                          | web                      |
|        | GET|HEAD  | pedoman                                    | pedoman.index             | App\Http\Controllers\Front\PedomanController@index                          | web                      |
|        | GET|HEAD  | pedoman/create                             | pedoman.create            | App\Http\Controllers\Front\PedomanController@create                         | web                      |
|        | DELETE    | pedoman/{pedoman}                          | pedoman.destroy           | App\Http\Controllers\Front\PedomanController@destroy                        | web                      |
|        | GET|HEAD  | pedoman/{pedoman}                          | pedoman.show              | App\Http\Controllers\Front\PedomanController@show                           | web                      |
|        | PUT|PATCH | pedoman/{pedoman}                          | pedoman.update            | App\Http\Controllers\Front\PedomanController@update                         | web                      |
|        | GET|HEAD  | pedoman/{pedoman}/edit                     | pedoman.edit              | App\Http\Controllers\Front\PedomanController@edit                           | web                      |
|        | POST      | peta-situs                                 | peta-situs.store          | App\Http\Controllers\Front\PetaSitusController@store                        | web                      |
|        | GET|HEAD  | peta-situs                                 | peta-situs.index          | App\Http\Controllers\Front\PetaSitusController@index                        | web                      |
|        | GET|HEAD  | peta-situs/create                          | peta-situs.create         | App\Http\Controllers\Front\PetaSitusController@create                       | web                      |
|        | PUT|PATCH | peta-situs/{peta_situs}                    | peta-situs.update         | App\Http\Controllers\Front\PetaSitusController@update                       | web                      |
|        | DELETE    | peta-situs/{peta_situs}                    | peta-situs.destroy        | App\Http\Controllers\Front\PetaSitusController@destroy                      | web                      |
|        | GET|HEAD  | peta-situs/{peta_situs}                    | peta-situs.show           | App\Http\Controllers\Front\PetaSitusController@show                         | web                      |
|        | GET|HEAD  | peta-situs/{peta_situs}/edit               | peta-situs.edit           | App\Http\Controllers\Front\PetaSitusController@edit                         | web                      |
|        | POST      | profile                                    | profile.store             | App\Http\Controllers\Front\ProfileController@store                          | web                      |
|        | GET|HEAD  | profile                                    | profile.index             | App\Http\Controllers\Front\ProfileController@index                          | web                      |
|        | GET|HEAD  | profile/create                             | profile.create            | App\Http\Controllers\Front\ProfileController@create                         | web                      |
|        | GET|HEAD  | profile/{profile}                          | profile.show              | App\Http\Controllers\Front\ProfileController@show                           | web                      |
|        | DELETE    | profile/{profile}                          | profile.destroy           | App\Http\Controllers\Front\ProfileController@destroy                        | web                      |
|        | PUT|PATCH | profile/{profile}                          | profile.update            | App\Http\Controllers\Front\ProfileController@update                         | web                      |
|        | GET|HEAD  | profile/{profile}/edit                     | profile.edit              | App\Http\Controllers\Front\ProfileController@edit                           | web                      |
|        | POST      | program                                    | program.store             | App\Http\Controllers\Front\ProgramController@store                          | web                      |
|        | GET|HEAD  | program                                    | program.index             | App\Http\Controllers\Front\ProgramController@index                          | web                      |
|        | GET|HEAD  | program/create                             | program.create            | App\Http\Controllers\Front\ProgramController@create                         | web                      |
|        | GET|HEAD  | program/{program}                          | program.show              | App\Http\Controllers\Front\ProgramController@show                           | web                      |
|        | PUT|PATCH | program/{program}                          | program.update            | App\Http\Controllers\Front\ProgramController@update                         | web                      |
|        | DELETE    | program/{program}                          | program.destroy           | App\Http\Controllers\Front\ProgramController@destroy                        | web                      |
